spill,65536,3,197361,742882
spill,65536,2,131574,766401
spill,65536,2,131574,932728
spill,65536,1,65787,595597
spill,65536,1,65787,582674
spill,65536,1,65787,566304
spill,65536,1,65787,1110591
spill,65536,2,131574,831706
spill,65536,1,65787,875383
spill,65536,2,131574,763571
spill,65536,1,65787,1081294
spill,65536,1,65787,622988
spill,65536,1,65787,616394
spill,65536,2,131574,693144
spill,65536,2,131574,926939
spill,65536,1,65787,606733
spill,65536,1,65787,503066
spill,65536,1,65787,795335
spill,65536,2,131574,622573
spill,65536,2,131574,446406
spill,65536,2,131574,606110
spill,65536,2,131574,485810
spill,65536,1,65787,1049272
spill,65536,2,131574,841916
spill,65536,1,65787,529384
spill,65536,1,65787,515109
spill,65536,3,197361,763025
spill,65536,1,65787,726383
spill,65536,3,197361,949059
spill,65536,4,263148,726788
spill,65536,5,328935,704270
spill,65536,1,65787,729459
spill,65536,1,65787,520474
spill,65536,1,65787,834004
spill,65536,1,65787,587343
spill,65536,1,65787,573358
spill,65536,1,65787,592289
spill,65536,1,65787,855907
spill,65536,1,65787,547905
spill,65536,1,65787,518500
spill,65536,3,197361,788235
spill,65536,2,131574,533370
spill,65536,3,197361,579861
spill,65536,2,131574,492540
spill,65536,4,263148,1149629
spill,65536,2,131574,470797
spill,65536,1,65787,728412
spill,65536,1,65787,660160
spill,65536,1,65787,511858
spill,65536,1,65787,684677
spill,65536,1,65787,534264
spill,65536,2,131574,796718
spill,65536,1,65787,662680
spill,65536,1,65787,757256
spill,65536,2,131574,920274
spill,65536,1,65787,639782
spill,65536,1,65787,781598
spill,65536,2,131574,487472
spill,65536,1,65787,947969
spill,65536,1,65787,865309
spill,65536,1,65787,435105
spill,65536,1,65787,669846
spill,65536,1,65787,481923
spill,65536,1,65787,448821
spill,65536,1,65787,1087712
spill,65536,1,65787,607685
spill,65536,1,65787,703538
spill,65536,1,65787,588002
spill,65536,1,65787,614618
spill,65536,1,65787,728125
spill,65536,1,65787,544167
spill,65536,4,263148,1053787
spill,65536,1,65787,573282
spill,65536,2,131574,827722
spill,65536,1,65787,827828
spill,65536,2,131574,843875
spill,65536,1,65787,570010
spill,65536,1,65787,769027
spill,65536,1,65787,704921
spill,65536,1,65787,683531
spill,65536,1,65787,466787
spill,65536,1,65787,739454
spill,65536,2,131574,1013859
spill,65536,2,131574,571333
spill,65536,1,65787,883966
spill,65536,1,65787,478634
spill,65536,2,131574,758210
spill,65536,2,131574,895269
spill,65536,1,65787,574716
spill,65536,2,131574,555954
spill,65536,1,65787,538056
spill,65536,1,65787,540654
spill,65536,1,65787,727023
spill,65536,1,65787,465242
spill,65536,2,131574,556671
spill,65536,2,131574,655881
spill,65536,1,65787,569969
spill,65536,1,65787,662202
spill,65536,1,65787,609656
spill,65536,2,131574,1149970
spill,65536,1,65787,780689
spill,65536,2,131574,863146
spill,65536,2,131574,945014
spill,65536,1,65787,523457
spill,65536,2,131574,731168
spill,65536,1,65787,717817
spill,65536,1,65787,792430
spill,65536,1,65787,679753
spill,65536,2,131574,904298
spill,65536,1,65787,1126840
spill,65536,1,65787,577999
spill,65536,1,65787,610065
spill,65536,2,131574,646458
spill,65536,3,197361,885955
spill,65536,2,131574,742249
spill,65536,2,131574,778648
spill,65536,1,65787,620489
spill,65536,3,197361,869863
spill,65536,1,65787,696799
spill,65536,2,131574,870828
spill,65536,1,65787,631860
spill,65536,1,65787,826611
spill,65536,1,65787,595587
spill,65536,3,197361,1057309
spill,65536,1,65787,699272
spill,65536,1,65787,558736
spill,65536,1,65787,565089
spill,65536,3,197361,759885
spill,65536,1,65787,724612
spill,65536,1,65787,419820
spill,65536,2,131574,523168
spill,65536,1,65787,543242
spill,65536,2,131574,579358
spill,65536,1,65787,669960
spill,65536,1,65787,814274
spill,65536,1,65787,423696
spill,65536,4,263148,958884
spill,65536,1,65787,527580
spill,65536,2,131574,519511
spill,65536,2,131574,431110
spill,65536,1,65787,570874
spill,65536,2,131574,561753
spill,65536,3,197361,833594
spill,65536,1,65787,836554
spill,65536,1,65787,538265
spill,65536,5,328935,708559
spill,65536,1,65787,719487
spill,65536,2,131574,795547
spill,65536,1,65787,579525
spill,65536,1,65787,698575
spill,65536,2,131574,560086
spill,65536,1,65787,436067
spill,65536,1,65787,412290
spill,65536,2,131574,781651
spill,65536,2,131574,644510
spill,65536,1,65787,529973
spill,65536,1,65787,607277
spill,65536,1,65787,425647
spill,65536,3,197361,715115
spill,65536,1,65787,466601
spill,65536,1,65787,334569
spill,65536,2,131574,522328
spill,65536,1,65787,347986
spill,65536,1,65787,519102
spill,65536,1,65787,390045
spill,65536,1,65787,387142
spill,65536,1,65787,515046
spill,65536,1,65787,593248
spill,65536,2,131574,613168
spill,65536,2,131574,547007
spill,65536,1,65787,655924
spill,65536,1,65787,532124
spill,65536,1,65787,445842
spill,65536,1,65787,425643
spill,65536,1,65787,451840
spill,65536,1,65787,558513
spill,65536,1,65787,951654
spill,65536,1,65787,746488
spill,65536,1,65787,447537
spill,65536,1,65787,467050
spill,65536,1,65787,772822
spill,65536,2,131574,600460
spill,65536,1,65787,550525
spill,65536,1,65787,486965
spill,65536,1,65787,596499
spill,65536,1,65787,601892
spill,65536,3,197361,715915
spill,65536,2,131574,544705
spill,65536,1,65787,538382
spill,65536,1,65787,502997
spill,65536,1,65787,489867
spill,65536,1,65787,449151
spill,65536,2,131574,564621
spill,65536,1,65787,416456
spill,65536,2,131574,721411
spill,65536,1,65787,530038
spill,65536,1,65787,500110
spill,65536,1,65787,715123
spill,65536,1,65787,513580
spill,65536,2,131574,600395
spill,65536,1,65787,506216
spill,65536,1,65787,512764
spill,65536,5,328935,726064
spill,65536,1,65787,617592
spill,65536,1,65787,610281
spill,65536,1,65787,536433
spill,65536,1,65787,552657
spill,65536,1,65787,557031
spill,65536,1,65787,415281
spill,65536,2,131574,509342
spill,65536,1,65787,452711
spill,65536,1,65787,493923
spill,65536,1,65787,528364
spill,65536,1,65787,676468
spill,65536,2,131574,672974
spill,65536,1,65787,738468
spill,65536,2,131574,619879
spill,65536,1,65787,621767
spill,65536,2,131574,645617
spill,65536,1,65787,531349
spill,65536,1,65787,460052
spill,65536,1,65787,546548
spill,65536,1,65787,533777
spill,65536,1,65787,566413
